Object,Epoch,TP,e,i,w,Node,qq,Q,P,MOID,A1,A2,A3,DT,ref,Object_name
P/2009 WX51 (Catalina),55175,2455227.575,0.740297034,9.592585691,118.0163889,31.75826735,0.799955544,5.36,5.41,0.009227,,,,,19,P/2009 WX51 (Catalina)
C/2010 L5 (WISE),55379,2455309.645,0.903756192,147.051681,214.729745,206.4730991,0.790900833,15.64,23.56,0.113609,,,,,6,C/2010 L5 (WISE)
P/2011 NO1 (Elenin),55758,2455582.092,0.776521252,15.27233838,263.6169668,296.0964602,1.242925561,9.88,13.12,0.380652,,,,,8,P/2011 NO1 (Elenin)
C/2011 S2 (Kowalski),55857,2455860.848,0.931603545,17.57253024,192.1899464,288.0701102,1.115118144,31.49,65.83,0.13779,,,,,16,C/2011 S2 (Kowalski)
P/2012 NJ (La Sagra),56158,2456091.59,0.848061834,84.37545937,338.4139159,315.7631836,1.291890069,15.71,24.79,0.315258,,,,,31,P/2012 NJ (La Sagra)
P/2013 CU129 (PANSTARRS),56475,2456511.432,0.722105036,12.14763226,211.9722717,46.20979967,0.800147691,4.96,4.89,0.085523,,,,,38,P/2013 CU129 (PANSTARRS)
P/2013 TL117 (Lemmon),56674,2456706.719,0.689913795,9.365636389,112.199132,3.362021948,1.117672075,6.09,6.84,0.20162,,,,,45,P/2013 TL117 (Lemmon)
P/2014 U2 (Kowalski),56974,2456937.65,0.602948764,7.495593453,35.25220977,356.1806792,1.164298274,4.7,5.02,0.183671,,,,,10,P/2014 U2 (Kowalski)
P/2015 A3 (PANSTARRS),57040,2457076.25,0.848167698,172.5137446,249.5086139,277.0821425,1.15385721,14.05,20.95,0.204591,,,,,1,P/2015 A3 (PANSTARRS)
C/2015 D1 (SOHO),57073,2457073.248,0.994267774,69.61628937,234.9530166,95.88138486,0.028321056,9.85,10.98,0.515916,0.00000125,,,,3,C/2015 D1 (SOHO)
C/2015 F2 (Polonia),57110,2457141.343,0.962399182,28.66103039,352.0587584,262.4816139,1.209544218,63.13,182.45,0.198704,,,,,6,C/2015 F2 (Polonia)
C/2015 F5 (SWAN-Xingming),57124,2457109.599,0.977734115,149.2569445,13.39233003,287.7390236,0.346005132,30.73,61.26,0.441413,,,,,2,C/2015 F5 (SWAN-Xingming)
